1 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
2 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
3 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
4 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
5 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
6 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
7 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
8 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
9 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
10 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
11 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
12 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
13 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
14 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
15 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
16 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
17 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
18 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
19 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
20 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
21 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
22 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
23 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
24 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
25 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
26 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
27 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
28 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
29 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
30 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
31 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
32 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
33 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
34 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
35 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
36 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
37 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
38 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
39 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
40 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
41 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
42 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
43 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
44 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
45 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
46 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
47 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
48 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
49 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
50 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
51 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
52 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
53 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
54 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
55 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
56 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
57 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
58 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
59 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
60 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
61 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
62 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
63 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
64 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
65 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
66 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
67 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
68 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
69 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
70 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
71 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
72 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
73 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
74 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
75 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
76 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
77 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
78 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
79 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
80 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
81 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
82 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
83 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
84 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
85 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
86 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
87 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
88 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
89 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
90 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
91 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
92 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
93 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
94 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
95 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
96 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
97 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
98 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
99 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
100 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
101 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
102 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
103 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
104 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
105 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
106 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
107 - Stockname: GameStart  Quantity: 1 Order: sell, service id: 8, 
108 - Stockname: BoarCo  Quantity: 1 Order: sell, service id: 8, 
109 - Stockname: MenhirCo  Quantity: 1 Order: sell, service id: 8, 
110 - Stockname: ConStock  Quantity: 1 Order: buy, service id: 8, 
111 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
112 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
113 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
114 - Stockname: MenhirCo  Quantity: 1 Order: buy, service id: 8, 
115 - Stockname: FishCo  Quantity: 1 Order: sell, service id: 8, 
116 - Stockname: ConStock  Quantity: 1 Order: sell, service id: 8, 
117 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
118 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
119 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
120 - Stockname: FishCo  Quantity: 1 Order: buy, service id: 8, 
121 - Stockname: GameStart  Quantity: 1 Order: buy, service id: 8, 
122 - Stockname: BoarCo  Quantity: 1 Order: buy, service id: 8, 
